,price,floor_level,bedroom_amount,net_area,district,address,misc,facility,url_desc
821,7000000,H,2,375,Hang Hau,8 Pui Shing Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Hang-Hau-Nan-Fung-Plaza-Block-6-Higher-Floor-Flat-F-M250492269
822,5681000,H,1,297,Shatin,2-16 Wang Pok Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}]",https://www.midland.com.hk/en/property/New-Territories-Shatin-Town-Centre-Shatin-Centre-Block-H-Kwong-Ning-Building-Higher-Floor-Flat-B-M301720894
823,7300000,L,3,798,Yuen Long,99 Tai Tong Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-Sereno-Verde-Phase-4-Block-12-Lower-Floor-Flat-A-M300132511
824,5760000,H,2,454,Sham Tseng / Tsing Lung Tau,18 Castle Peak Road Tsing Lung Tau,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Sham-Tseng-Tsing-Lung-Tau-Sea-Crest-Villa-Phase-1-Block-03-Higher-Floor-Flat-E-M301142361
825,16000000,M,3,1160,Tung Chung,1 Ying Hong Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}]",https://www.midland.com.hk/en/property/New-Territories-Tung-Chung-The-Visionary-Tower-06-Middle-Floor-Flat-A-M350462381
826,8280000,L,1,415,Yuen Long,9 Long Yat Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-Grand-Yoho-Phase-2-Tower-8-Lower-Floor-Flat-B-M301147771
827,14600000,H,3,663,Tsuen Wan,1 Yeung Uk Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00014', 'name': 'Terrace'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00039', 'name': 'Sea View'}, {'id': 'MISCF00035', 'name': 'Mountain View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-West-Vision-City-Block-2-Higher-Floor-Flat-B-M300030996
828,5900000,M,2,390,Shatin,1-15 Wang Pok Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00049', 'name': 'River View'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}]",https://www.midland.com.hk/en/property/New-Territories-Shatin-Town-Centre-Shatin-New-Town-Lucky-Plaza-Block-D1-Chuk-Lam-Court-Middle-Floor-Flat-B-M300110475
829,30500000,H,3,900,Kowloon Station,1 Austin Road West,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00003', 'name': 'Newly Decorated'}, {'id': 'MISCF00039', 'name': 'Sea View'}, {'id': 'MISCF00035', 'name': 'Mountain View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Kowloon-Station-Sorrento-Phase-2-Block-2-Higher-Floor-Flat-H-M200087485
830,26800000,H,3,1083,Yau Yat Chuen / Shek Kip Mei,19 Parc Oasis Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00024', 'name': 'Duplex Unit'}, {'id': 'MISCF00014', 'name': 'Terrace'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00002', 'name': 'Well Decorated'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/Kowloon-Yau-Yat-Chuen-Parc-Oasis-Block-15-Higher-Floor-Flat-F-M200117517
831,9500000,M,3,809,Ma On Shan,9 Sha On Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00002', 'name': 'Well Decorated'}, {'id': 'MISCF00035', 'name': 'Mountain View'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Ma-On-Shan-Monte-Vista-Block-09-Middle-Floor-Flat-C-M300375856
832,7700000,L,2,524,Hang Hau,8 Chung Wa Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/Kowloon-Hang-Hau-East-Point-City-Block-6-Lower-Floor-Flat-D-M201214667
833,8950000,H,2,498,Yuen Long,9 Long Yat Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-Grand-Yoho-Phase-1-Tower-01-Higher-Floor-Flat-A-M350620754
834,8700000,M,3,696,Ma On Shan,9 Sha On Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Ma-On-Shan-Monte-Vista-Block-11-Middle-Floor-Flat-D-M301185275
835,9980000,L,2,457,Olympic,11 Hoi Fai Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/Kowloon-Olympic-Station-Island-Harbourview-Block-08-Lower-Floor-Flat-G-M200532333
