,Balcony,Club House,Garden View,Lux_Revo,MTR nearby,Mountain View,River View,Rooftop,Sea View,Shopping Mall nearby,Swimming,Terrace,bedroom_amount,building,car_parking,floor_level,link,location,net_area,price,price_per,Garden view
10897,,1,,,,,,,,,1,,3.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Oscar-By-The-Sea-Phase-2-Block-7-High-Floor-Flat-H-H200110360,Tseung Kwan O Town Centre,612,9500000,15523.0,
10898,,1,,,,,,,,,1,1,2.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Tiu-Keng-Leng-Ocean-Shores-Phase-1-Block-01-High-Floor-Flat-F-H200118655,Tiu Keng Leng,505,8300000,16436.0,
10899,1,1,,,,,,,,,1,,,,,L,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Monterey-Tower-6B-Low-Floor-Flat-F-H200130525,Tseung Kwan O Town Centre,343,8000000,23324.0,
10900,1,1,,,,,,,,,,,,,,M,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Oscar-By-The-Sea-Phase-2-Block-5-Middle-Floor-Flat-G-H200131909,Tseung Kwan O Town Centre,481,7300000,15177.0,
10901,,1,,,,,,,,,1,,0.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-To-Kwa-Wan-My-Place-Middle-Floor-Flat-G-H200133516,To Kwa Wan,259,5300000,20463.0,
10902,,1,,,,,,,,,,,,,,L,https://www.hkp.com.hk/en/property/Kowloon-Tiu-Keng-Leng-Ocean-Shores-Phase-3-Block-13-Low-Floor-Flat-C-H200138230,Tiu Keng Leng,530,8450000,15943.0,
10903,,1,,,,,,,,,1,,,,,L,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Serenity-Place-Block-4-Low-Floor-Flat-H-H200144852,Po Lam,656,7500000,11433.0,
10904,1,1,,,,,,,,,,,3.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Tiu-Keng-Leng-Ocean-Shores-Phase-3-Block-15-Low-Floor-Flat-A-H200146952,Tiu Keng Leng,603,9000000,14925.0,
10905,,,,,,,,,,,,,,,,,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Ocean-Wings-Block-3-Flat-A-H200150872,Tseung Kwan O Town Centre,978,22000000,22495.0,
10906,,1,,,,,,,,,,,3.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Radiant-Towers-Block-2-Low-Floor-Flat-F-H200152418,Po Lam,639,7300000,11424.0,
10907,1,1,,,,,,,1,,1,,,,,L,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Serenity-Place-Block-4-Low-Floor-Flat-G-H200152983,Po Lam,601,7000000,11647.0,
10908,,,,,,,,,,,,,,,,L,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Monterey-Tower-5-Low-Floor-Flat-E-H200153292,Tseung Kwan O Town Centre,366,8300000,22678.0,
10909,,1,,,,,,,,,,,2.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Kwun-Tong-Lam-Tin-Yau-Tong-Hiu-Lai-Court-Block-A-Hiu-Tin-House-Low-Floor-Flat-14-H200153529,Lam Tin,436,5280000,12110.0,
10910,,1,,,,,,,,,,,,,,H,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-The-Pinnacle-Block-3-High-Floor-Flat-G-H200154198,Po Lam,614,7700000,12541.0,
